,0_fraction,1_fraction,blockiness,interaction_parameter,lamellar_period
0,0.0,1.0,0.0,0.0,15.2676113946
1,0.5,0.5,0.625,0.0,15.9070980925
2,0.21875,0.78125,0.6342857142857142,0.0,15.5540558112
3,0.21875,0.78125,0.45142857142857135,0.0,15.5146857111
4,0.40625,0.59375,0.611336032388664,0.0,15.783591187
5,0.40625,0.59375,0.611336032388664,0.0,15.8260434954
6,0.09375,0.90625,0.264367816091954,0.0,15.4313182011
7,0.1875,0.8125,0.7948717948717949,0.0,15.7431289263
8,0.4375,0.5625,-0.6507936507936508,0.0,15.9281170351
9,0.46875,0.53125,-0.6313725490196078,0.0,15.9902432671
10,0.46875,0.53125,-0.7568627450980392,0.0,15.9607412996
11,0.46875,0.53125,-0.5058823529411766,0.0,16.0910837149
12,0.375,0.625,-0.33333333333333337,0.0,15.8891950804
13,0.53125,0.46875,-0.2549019607843137,0.0,16.1330431039
14,0.5625,0.4375,-0.6507936507936508,0.0,16.1932478278
15,0.46875,0.53125,-0.5058823529411766,0.0,15.9433252997
16,0.21875,0.78125,0.26857142857142857,0.0,15.603668458
17,0.28125,0.71875,0.3816425120772947,0.0,15.7293007571
18,0.1875,0.8125,-0.02564102564102566,0.0,15.5643702276
19,0.1875,0.8125,-0.02564102564102566,0.0,15.6235337267
20,0.21875,0.78125,-0.09714285714285714,0.0,15.5848060251
21,0.15625,0.84375,0.2888888888888889,0.0,15.5142306312
22,0.15625,0.84375,0.05185185185185187,0.0,15.4884822203
23,0.4375,0.5625,-0.39682539682539686,0.0,16.0277157372
24,0.125,0.875,0.4285714285714286,0.0,15.5582477174
25,0.40625,0.59375,0.22267206477732793,0.0,15.9110857518
26,0.125,0.875,0.14285714285714288,0.0,15.4090785408
27,0.21875,0.78125,0.45142857142857135,0.0,15.637035404
28,0.09375,0.90625,-0.10344827586206896,0.0,15.3760673247
29,0.25,0.75,0.33333333333333337,0.0,15.7873912125
30,0.21875,0.78125,0.08571428571428569,0.0,15.6371606216
31,0.28125,0.71875,0.3816425120772947,0.0,15.6204401977
32,0.5,0.5,-0.375,0.0,16.0664469912
33,0.40625,0.59375,-0.554655870445344,0.0,15.9182610611
34,0.5625,0.4375,-0.6507936507936508,0.0,16.1718290428
35,0.5,0.5,-0.75,0.0,16.0631732607
36,0.4375,0.5625,-0.5238095238095237,0.0,15.9648206256
37,0.5,0.5,-0.75,0.0,16.0196966717
38,0.5625,0.4375,-0.39682539682539686,0.0,16.2031350794
39,0.4375,0.5625,-0.39682539682539686,0.0,15.9557686978
40,0.625,0.375,-0.06666666666666665,0.0,16.2699165704
41,0.46875,0.53125,-0.12941176470588234,0.0,16.07652729
42,0.5625,0.4375,-0.015873015873015844,0.0,16.0406615139
43,0.46875,0.53125,-0.2549019607843138,0.0,16.0192555319
44,0.5,0.5,0.0,0.0,15.9752674543
45,0.5,0.5,-0.125,0.0,16.1039688487
46,0.46875,0.53125,-0.5058823529411766,0.0,15.9942159481
47,0.46875,0.53125,-0.12941176470588234,0.0,16.0181590335
48,0.46875,0.53125,-0.12941176470588234,0.0,16.0929920517
49,0.4375,0.5625,-0.14285714285714282,0.0,16.000614172
50,0.4375,0.5625,0.11111111111111113,0.0,15.8369656171
51,0.28125,0.71875,-0.23671497584541062,0.0,15.7209156571
52,0.46875,0.53125,-0.38039215686274513,0.0,15.9420322018
53,0.40625,0.59375,-0.036437246963562736,0.0,15.9281685195
54,0.34375,0.65625,-0.10822510822510822,0.0,15.8053724039
55,0.4375,0.5625,0.23809523809523814,0.0,15.93763615
56,0.96875,0.03125,-0.032258064516129004,0.0,16.6892756269
57,0.8125,0.1875,0.17948717948717954,0.0,16.3664035356
58,0.8125,0.1875,-0.02564102564102566,0.0,16.4958735759
59,0.84375,0.15625,-0.18518518518518523,0.0,16.5644537984
60,0.9375,0.0625,-0.06666666666666665,0.0,16.6381993974
61,0.875,0.125,-0.1428571428571429,0.0,16.6238468027
62,0.90625,0.09375,-0.10344827586206895,0.0,16.6021268949
63,0.875,0.125,-0.1428571428571429,0.0,16.6139240617
64,0.6875,0.3125,-0.16363636363636372,0.0,16.2607857569
65,0.75,0.25,-0.33333333333333337,0.0,16.4280986239
66,0.78125,0.21875,0.08571428571428574,0.0,16.5262709521
67,0.84375,0.15625,0.051851851851851816,0.0,16.5082749678
68,0.75,0.25,-0.33333333333333337,0.0,16.3923688851
69,0.78125,0.21875,-0.09714285714285707,0.0,16.4723460592
70,0.6875,0.3125,-0.3090909090909091,0.0,16.296286648
71,0.8125,0.1875,-0.02564102564102566,0.0,16.4421323733
72,0.53125,0.46875,-0.5058823529411764,0.0,16.142623971
73,0.625,0.375,-0.33333333333333337,0.0,16.213136123
74,0.53125,0.46875,-0.38039215686274497,0.0,16.1089881388
75,0.46875,0.53125,-0.0039215686274509665,0.0,15.9925160874
76,0.5625,0.4375,-0.1428571428571429,0.0,16.1285507209
77,0.46875,0.53125,0.1215686274509804,0.0,16.0251530274
78,0.53125,0.46875,-0.38039215686274497,0.0,16.1390706832
79,0.4375,0.5625,-0.015873015873015872,0.0,16.0170371019
80,0.375,0.625,-0.06666666666666674,0.0,15.9379216055
81,0.5,0.5,-0.375,0.0,15.9765796948
82,0.4375,0.5625,-0.14285714285714282,0.0,16.011592392
83,0.40625,0.59375,-0.4251012145748988,0.0,15.8695329824
84,0.4375,0.5625,-0.2698412698412699,0.0,15.9999483509
85,0.40625,0.59375,-0.4251012145748988,0.0,15.9540668176
86,0.34375,0.65625,-0.3852813852813852,0.0,15.8645794949
87,0.34375,0.65625,-0.24675324675324672,0.0,15.8286500807
88,0.21875,0.78125,0.26857142857142857,0.0,15.7503631761
89,0.40625,0.59375,0.611336032388664,0.0,16.0412795228
90,0.21875,0.78125,0.6342857142857142,0.0,15.7066822565
91,0.125,0.875,-0.14285714285714285,0.0,15.583647724
92,0.3125,0.6875,0.7090909090909091,0.0,15.6409130059
93,0.25,0.75,0.16666666666666666,0.0,15.6671024172
94,0.125,0.875,0.14285714285714288,0.0,15.4433058224
95,0.25,0.75,0.33333333333333337,0.0,15.6539513181
96,0.3125,0.6875,0.5636363636363636,0.0,15.805078981
97,0.34375,0.65625,0.5844155844155845,0.0,15.692807551
98,0.09375,0.90625,0.632183908045977,0.0,15.4587745233
99,0.21875,0.78125,0.45142857142857135,0.0,15.5220816342
100,0.21875,0.78125,0.6342857142857142,0.0,15.5528394687
101,0.40625,0.59375,0.611336032388664,0.0,15.936382289
102,0.40625,0.59375,0.7408906882591093,0.0,15.9409669991
103,0.53125,0.46875,0.6235294117647059,0.0,15.9701174095
104,0.5625,0.4375,-0.39682539682539686,0.0,16.0569026503
105,0.65625,0.34375,-0.3852813852813852,0.0,16.2294884766
106,0.46875,0.53125,-0.38039215686274513,0.0,16.0968230025
107,0.59375,0.40625,-0.4251012145748988,0.0,16.1254389628
108,0.59375,0.40625,-0.5546558704453441,0.0,16.2608659741
109,0.59375,0.40625,-0.5546558704453441,0.0,16.1762039153
110,0.625,0.375,0.06666666666666665,0.0,16.2505973213
111,0.59375,0.40625,-0.4251012145748988,0.0,16.2506779883
112,0.125,0.875,-0.14285714285714285,0.0,15.5263280859
113,0.125,0.875,-0.14285714285714285,0.0,15.4613798831
114,0.25,0.75,-0.3333333333333333,0.0,15.6787587631
115,0.25,0.75,-0.1666666666666667,0.0,15.6754825204
116,0.125,0.875,-0.14285714285714285,0.0,15.5368688896
117,0.15625,0.84375,0.05185185185185187,0.0,15.5037427985
118,0.125,0.875,0.14285714285714288,0.0,15.4380560662
119,0.21875,0.78125,-0.28,0.0,15.6272528764
120,0.3125,0.6875,0.12727272727272734,0.0,15.6967889727
121,0.375,0.625,0.33333333333333337,0.0,15.6871029124
122,0.40625,0.59375,0.48178137651821856,0.0,15.7742150203
123,0.15625,0.84375,0.05185185185185187,0.0,15.5375041623
124,0.375,0.625,0.33333333333333337,0.0,16.0113622493
125,0.1875,0.8125,0.17948717948717946,0.0,15.5532417727
126,0.34375,0.65625,0.16883116883116886,0.0,15.7339225969
127,0.40625,0.59375,0.611336032388664,0.0,16.0256863509
128,0.90625,0.09375,0.26436781609195403,0.0,16.6814250978
129,0.5625,0.4375,0.4920634920634921,0.0,16.0955279172
130,0.78125,0.21875,0.45142857142857135,0.0,16.3082940586
131,0.8125,0.1875,0.5897435897435899,0.0,16.453795605
132,0.71875,0.28125,0.3816425120772947,0.0,16.3189317413
133,0.78125,0.21875,0.26857142857142857,0.0,16.5141205981
134,0.53125,0.46875,0.4980392156862745,0.0,16.1767665485
135,0.46875,0.53125,0.2470588235294117,0.0,16.0693839146
136,0.53125,0.46875,0.24705882352941178,0.0,16.026751318
137,0.625,0.375,0.7333333333333334,0.0,16.2313809959
138,0.28125,0.71875,0.3816425120772947,0.0,15.6203240671
139,0.625,0.375,0.4666666666666668,0.0,16.2411234374
140,0.625,0.375,0.4666666666666668,0.0,16.3044868271
141,0.40625,0.59375,0.48178137651821856,0.0,15.8091212586
142,0.34375,0.65625,0.30735930735930733,0.0,15.8352912299
143,0.625,0.375,0.6,0.0,16.1336377254
144,0.21875,0.78125,-0.09714285714285714,0.0,15.5588296737
145,0.125,0.875,-0.14285714285714285,0.0,15.6075552183
146,0.1875,0.8125,-0.02564102564102566,0.0,15.642700885
147,0.09375,0.90625,-0.10344827586206896,0.0,15.4895473239
148,0.21875,0.78125,0.08571428571428569,0.0,15.6250323898
149,0.1875,0.8125,-0.02564102564102566,0.0,15.628917735
150,0.15625,0.84375,0.05185185185185187,0.0,15.504250864
151,0.15625,0.84375,0.05185185185185187,0.0,15.4992455378
152,0.34375,0.65625,-0.24675324675324672,0.0,15.7759497956
153,0.3125,0.6875,-0.16363636363636366,0.0,15.7954679588
154,0.3125,0.6875,-0.45454545454545453,0.0,15.7302292395
155,0.28125,0.71875,0.07246376811594199,0.0,15.7689087041
156,0.28125,0.71875,-0.391304347826087,0.0,15.7606837769
157,0.28125,0.71875,-0.08212560386473433,0.0,15.7371140297
158,0.28125,0.71875,-0.391304347826087,0.0,15.6531467952
159,0.1875,0.8125,-0.02564102564102566,0.0,15.5511153193
160,0.78125,0.21875,0.08571428571428574,0.0,16.5110167684
161,0.90625,0.09375,0.26436781609195403,0.0,16.6410674452
162,0.84375,0.15625,0.051851851851851816,0.0,16.5389843965
163,0.84375,0.15625,0.051851851851851816,0.0,16.5557187614
164,0.90625,0.09375,-0.10344827586206895,0.0,16.5602774791
165,0.78125,0.21875,0.08571428571428574,0.0,16.333064027
166,0.75,0.25,0.0,0.0,16.4525930888
167,0.9375,0.0625,-0.06666666666666665,0.0,16.6557101564
168,0.53125,0.46875,0.1215686274509804,0.0,16.1389387412
169,0.5625,0.4375,-0.2698412698412699,0.0,16.2168297841
170,0.71875,0.28125,-0.08212560386473433,0.0,16.3928641951
171,0.625,0.375,-0.19999999999999996,0.0,16.1677399351
172,0.6875,0.3125,0.12727272727272734,0.0,16.2882305958
173,0.59375,0.40625,-0.29554655870445357,0.0,16.209244049
174,0.6875,0.3125,-0.16363636363636372,0.0,16.3598598748
175,0.59375,0.40625,-0.036437246963562764,0.0,16.2264911232
176,0.09375,0.90625,-0.10344827586206896,0.0,15.4048271327
177,0.0625,0.9375,-0.06666666666666667,0.0,15.3732388246
178,0.09375,0.90625,0.264367816091954,0.0,15.3470913517
179,0.125,0.875,-0.14285714285714285,0.0,15.584361661
180,0.1875,0.8125,-0.23076923076923078,0.0,15.5751806842
181,0.25,0.75,0.0,0.0,15.6410023957
182,0.15625,0.84375,0.2888888888888889,0.0,15.5134383336
183,0.03125,0.96875,-0.03225806451612903,0.0,15.3278256885
184,0.5,0.5,-0.625,0.0,16.0931927582
185,0.53125,0.46875,-0.38039215686274497,0.0,16.1483777562
186,0.46875,0.53125,-0.6313725490196078,0.0,16.040479218
187,0.5,0.5,-0.375,0.0,16.099483363
188,0.46875,0.53125,-0.6313725490196078,0.0,16.0349930211
189,0.40625,0.59375,-0.554655870445344,0.0,15.9075325793
190,0.4375,0.5625,-0.6507936507936508,0.0,15.928428984
191,0.5625,0.4375,-0.5238095238095238,0.0,16.2219977481
192,0.34375,0.65625,0.30735930735930733,0.0,15.8276309455
193,0.5,0.5,0.0,0.0,15.9650833241
194,0.4375,0.5625,0.11111111111111113,0.0,15.8769938134
195,0.625,0.375,0.06666666666666665,0.0,16.1212378941
196,0.375,0.625,0.19999999999999998,0.0,15.9729250517
197,0.65625,0.34375,0.030303030303030276,0.0,16.3480381362
198,0.4375,0.5625,0.23809523809523814,0.0,15.9540777097
199,0.40625,0.59375,-0.16599190283400805,0.0,15.9859054644
200,0.5625,0.4375,0.11111111111111116,0.0,16.0684844502
201,0.5,0.5,0.25,0.0,15.9263912244
