,latent_component_1,latent_component_2,latent_component_3,latent_component_4,latent_component_5,latent_component_6,latent_component_7,latent_component_8,latent_component_9,latent_component_10,latent_component_11,latent_component_12,latent_component_13,latent_component_14,latent_component_15,latent_component_16,lamellar_period,interaction_parameter
0,-3.6583805,-1.0854176,0.66594493,0.38294977,-2.7471025,0.42417815,-0.70013297,0.091979,2.562232,-0.4483368,-2.063837,0.7340154,-0.4463283,2.8838947,0.59349203,-1.3600293,15.2676113946,0.0
1,0.77934396,-0.36273128,-1.0166823,-0.37875962,-1.5259248,0.12229103,-1.7763871,-0.016574195,0.57040167,1.1786622,-0.750494,1.8800783,-0.18706262,-0.5381263,-1.3631313,2.7301538,15.9070980925,0.0
2,-4.110869,-1.1465297,0.25613236,-1.177471,-2.1364572,-0.0239802,0.8163985,-0.28289238,2.7644594,-2.0117042,-2.8622775,0.36430195,-0.020438446,2.5671952,0.298261,-1.2900316,15.5540558112,0.0
3,-4.5433984,-0.40190047,-0.25042486,-0.22804846,-1.7367654,0.20620553,-0.15909474,-0.9731255,2.333492,-0.528035,-2.9505453,0.78197,0.1300443,1.7750671,0.10514189,-0.926464,15.5146857111,0.0
4,-0.025401864,0.70467407,-0.8282683,0.31132942,-2.3477554,-0.12635607,-1.1559904,-0.7880743,1.0356936,0.57591796,-0.45898992,1.1305242,-0.39610726,0.053556666,-0.30757946,1.5471425,15.783591187,0.0
5,0.73867756,0.07700479,-0.2669561,-1.1414793,-2.1693006,0.44090912,-1.5529591,-0.020792838,2.7022388,0.44991586,-0.62295914,0.71236175,-0.13350998,0.3631662,-1.0748764,1.0129364,15.8260434954,0.0
6,-1.5082058,-0.15088163,-0.24507642,0.12107287,-1.9399322,0.63933754,-1.1666831,-0.078352444,1.5702654,0.9761077,-0.6763089,0.42320347,0.40409616,2.3118012,-0.54573554,-0.25823626,15.4313182011,0.0
7,-4.8076596,-1.1518023,1.93496,1.0351237,-2.9371295,-0.3931136,0.013767836,0.61115336,3.6469643,-1.5884438,-3.2835453,0.08564735,-0.44752204,2.4271717,1.0730997,-2.055065,15.7431289263,0.0
8,0.8652392,-0.0010278698,-0.20196496,-0.61558896,-0.5765075,0.6739582,-0.20200463,0.52332306,1.2975596,1.1073158,0.3372937,0.7344645,-0.10826105,-0.38375726,-1.5652058,0.67909104,15.9281170351,0.0
9,0.2125409,0.39833495,-1.0329052,0.34270746,0.12069842,0.95376116,-0.45491558,0.31726968,-0.1001469,1.9662691,0.40700895,0.22797461,1.2007552,-0.34329948,-1.4692129,1.377629,15.9902432671,0.0
10,-0.719495,0.7556403,-0.6122282,-0.30200577,-1.0200317,0.66121244,0.31541622,0.060227744,1.0564039,0.49556458,-0.6939447,0.29851767,-0.07897247,0.09728261,-1.1374694,0.6656656,15.9607412996,0.0
11,-1.4652609,0.38508096,0.19899373,0.3255785,-0.53696245,0.24603637,-0.04399632,-0.35160655,0.9352838,1.3549925,-0.590417,-0.062192373,0.35885113,0.832008,-0.7502725,0.5887263,16.0910837149,0.0
