,0_fraction,1_fraction,blockiness,interaction_parameter,lamellar_period
0,0.5625,0.4375,-0.015873015873015844,1.0,15.7726639064
1,0.34375,0.65625,-0.10822510822510822,1.0,15.4848670985
2,0.34375,0.65625,-0.24675324675324672,1.0,15.5679151246
3,0.46875,0.53125,-0.0039215686274509665,1.0,15.8045951126
4,0.5625,0.4375,-0.2698412698412699,1.0,15.8862202218
5,0.59375,0.40625,-0.036437246963562764,1.0,15.7608568613
6,0.5,0.5,0.0,1.0,15.6508989673
7,0.4375,0.5625,0.23809523809523814,1.0,15.6387239808
8,0.59375,0.40625,-0.29554655870445357,1.0,15.8450253602
9,0.5,0.5,0.25,1.0,15.6753968741
10,0.5,0.5,-0.25,1.0,15.6620523595
11,0.59375,0.40625,-0.29554655870445357,1.0,15.8110806061
12,0.59375,0.40625,-0.16599190283400808,1.0,15.8413117949
13,0.34375,0.65625,0.03030303030303036,1.0,15.4895801098
14,0.375,0.625,-0.2,1.0,15.5681802968
15,0.375,0.625,-0.06666666666666674,1.0,15.4851609138
16,0.5,0.5,0.0,1.0,15.723951118
17,0.59375,0.40625,-0.036437246963562764,1.0,15.9327932993
18,0.46875,0.53125,-0.12941176470588234,1.0,15.667409647
19,0.4375,0.5625,-0.14285714285714282,1.0,15.5941238395
20,0.5625,0.4375,-0.1428571428571429,1.0,15.8074221075
21,0.59375,0.40625,-0.16599190283400808,1.0,15.8009066613
22,0.53125,0.46875,-0.12941176470588234,1.0,15.7810842629
23,0.53125,0.46875,-0.0039215686274509665,1.0,15.7410172734
24,0.5625,0.4375,-0.015873015873015844,1.0,15.9023311946
25,0.625,0.375,0.06666666666666665,1.0,15.7960328637
26,0.34375,0.65625,-0.24675324675324672,1.0,15.4957745201
27,0.6875,0.3125,0.2727272727272727,1.0,15.9115585132
28,0.34375,0.65625,0.16883116883116886,1.0,15.6711340254
29,0.53125,0.46875,0.37254901960784326,1.0,15.7243292919
30,0.71875,0.28125,-0.08212560386473433,1.0,15.9908540284
31,0.46875,0.53125,0.1215686274509804,1.0,15.6234892786
32,0.34375,0.65625,-0.10822510822510822,1.0,15.4855153006
33,0.5625,0.4375,-0.015873015873015844,1.0,15.8790751325
34,0.40625,0.59375,-0.036437246963562736,1.0,15.5888985621
35,0.5625,0.4375,-0.1428571428571429,1.0,15.7538848555
36,0.4375,0.5625,-0.2698412698412699,1.0,15.5564642072
37,0.71875,0.28125,-0.08212560386473433,1.0,16.0390976586
38,0.53125,0.46875,-0.0039215686274509665,1.0,15.8324069204
39,0.5625,0.4375,0.11111111111111116,1.0,15.8025264835
40,0.5,0.5,-0.25,1.0,15.6661833565
41,0.34375,0.65625,-0.3852813852813852,1.0,15.5615806577
42,0.25,0.75,-0.1666666666666667,1.0,15.4485809505
43,0.53125,0.46875,-0.12941176470588234,1.0,15.869460301
44,0.625,0.375,-0.19999999999999996,1.0,15.83945805
45,0.46875,0.53125,0.2470588235294117,1.0,15.7342608761
46,0.5625,0.4375,-0.1428571428571429,1.0,15.7972076812
47,0.5625,0.4375,-0.015873015873015844,1.0,15.7973757528
48,0.46875,0.53125,-0.0039215686274509665,1.0,15.6132566853
49,0.46875,0.53125,0.1215686274509804,1.0,15.6960571024
50,0.625,0.375,0.06666666666666665,1.0,15.9195928529
51,0.4375,0.5625,-0.14285714285714282,1.0,15.5300878198
52,0.5625,0.4375,-0.39682539682539686,1.0,15.7861989859
53,0.5625,0.4375,-0.1428571428571429,1.0,15.8374100474
54,0.4375,0.5625,-0.14285714285714282,1.0,15.6223739762
55,0.5,0.5,-0.25,1.0,15.7230174985
56,0.5,0.5,0.0,1.0,15.7309458401
57,0.53125,0.46875,-0.12941176470588234,1.0,15.8455710609
58,0.5,0.5,-0.125,1.0,15.7747984842
59,0.5,0.5,-0.125,1.0,15.6601680724
60,0.53125,0.46875,-0.12941176470588234,1.0,15.7164499547
61,0.4375,0.5625,-0.2698412698412699,1.0,15.5778605532
62,0.6875,0.3125,0.12727272727272734,1.0,15.9965999073
63,0.5,0.5,0.25,1.0,15.7001560533
64,0.65625,0.34375,0.30735930735930733,1.0,15.8741494504
65,0.34375,0.65625,0.30735930735930733,1.0,15.5027618985
66,0.59375,0.40625,0.22267206477732793,1.0,15.7762295069
67,0.6875,0.3125,0.12727272727272734,1.0,15.9959850582
68,0.375,0.625,0.6,1.0,15.5783923161
69,0.34375,0.65625,0.03030303030303036,1.0,15.4716518608
70,0.4375,0.5625,0.11111111111111113,1.0,15.7268999943
71,0.28125,0.71875,0.22705314009661837,1.0,15.5165602928
72,0.3125,0.6875,0.2727272727272727,1.0,15.5085128184
73,0.5625,0.4375,0.23809523809523805,1.0,16.0314721862
74,0.5,0.5,0.25,1.0,15.8235238515
75,0.8125,0.1875,0.17948717948717954,1.0,16.280266909
76,0.53125,0.46875,0.37254901960784326,1.0,16.2640455253
77,0.46875,0.53125,0.2470588235294117,1.0,15.7376369323
78,0.53125,0.46875,0.6235294117647059,1.0,15.7283398535
79,0.25,0.75,0.5,1.0,15.3871629958
80,0.53125,0.46875,0.24705882352941178,1.0,15.9184957211
81,0.53125,0.46875,0.37254901960784326,1.0,15.8549883805
82,0.28125,0.71875,0.07246376811594199,1.0,15.5055033572
83,0.46875,0.53125,0.4980392156862744,1.0,15.695586762
84,0.71875,0.28125,0.3816425120772947,1.0,16.1815739124
85,0.53125,0.46875,0.37254901960784326,1.0,15.6890391215
86,0.53125,0.46875,0.4980392156862745,1.0,15.6577148607
87,0.4375,0.5625,0.3650793650793651,1.0,15.7102564196
88,0.53125,0.46875,0.24705882352941178,1.0,15.6849085302
89,0.53125,0.46875,0.37254901960784326,1.0,16.0229691623
90,0.4375,0.5625,0.23809523809523814,1.0,15.6615445565
91,0.71875,0.28125,0.07246376811594202,1.0,16.1362800101
92,0.5625,0.4375,0.11111111111111116,1.0,15.7611675821
93,0.3125,0.6875,0.7090909090909091,1.0,15.4342116256
94,0.4375,0.5625,0.23809523809523814,1.0,15.646384746
95,0.59375,0.40625,0.6113360323886639,1.0,15.8710906604
96,0.53125,0.46875,0.24705882352941178,1.0,15.7633608262
97,0.4375,0.5625,0.3650793650793651,1.0,15.6100329103
98,0.59375,0.40625,0.6113360323886639,1.0,16.1833479189
99,0.65625,0.34375,0.4458874458874459,1.0,16.1913630371
100,0.71875,0.28125,0.07246376811594202,1.0,16.3730728261
101,0.625,0.375,0.19999999999999996,1.0,15.8682063764
102,0.28125,0.71875,0.536231884057971,1.0,15.6454660542
103,0.53125,0.46875,0.37254901960784326,1.0,15.7334256285
104,0.59375,0.40625,0.22267206477732793,1.0,15.849879432
105,0.34375,0.65625,0.16883116883116886,1.0,15.6384505223
106,0.375,0.625,0.4666666666666667,1.0,15.6352764632
107,0.34375,0.65625,0.4458874458874459,1.0,15.634918654
108,0.59375,0.40625,0.22267206477732793,1.0,15.8652886684
109,0.625,0.375,0.4666666666666668,1.0,16.1475548373
110,0.6875,0.3125,0.12727272727272734,1.0,15.9918119775
111,0.53125,0.46875,-0.0039215686274509665,1.0,15.7841334958
112,0.53125,0.46875,0.1215686274509804,1.0,15.6928139649
113,0.4375,0.5625,0.3650793650793651,1.0,15.8506169374
114,0.65625,0.34375,0.16883116883116892,1.0,15.9383574504
115,0.40625,0.59375,0.3522267206477734,1.0,15.5727281635
116,0.625,0.375,0.19999999999999996,1.0,15.9082021956
117,0.75,0.25,0.5,1.0,16.2060264076
118,0.28125,0.71875,0.22705314009661837,1.0,15.4125803163
119,0.53125,0.46875,0.6235294117647059,1.0,15.7849445477
120,0.5,0.5,0.0,1.0,15.8350335392
121,0.53125,0.46875,0.4980392156862745,1.0,15.7051968392
122,0.59375,0.40625,0.6113360323886639,1.0,15.9283851747
123,0.625,0.375,0.19999999999999996,1.0,15.7485720972
124,0.5625,0.4375,0.23809523809523805,1.0,15.9221424133
125,0.53125,0.46875,0.37254901960784326,1.0,15.6764823796
126,0.78125,0.21875,-0.09714285714285707,1.0,16.1308121113
127,0.34375,0.65625,0.16883116883116886,1.0,15.6882174288
128,0.28125,0.71875,0.6908212560386474,1.0,15.7740663487
129,0.4375,0.5625,0.873015873015873,1.0,15.6211916056
130,0.4375,0.5625,0.7460317460317459,1.0,16.5261941123
131,0.53125,0.46875,0.7490196078431373,1.0,16.2014156622
132,0.625,0.375,0.7333333333333334,1.0,16.8740649156
133,0.34375,0.65625,0.5844155844155845,1.0,15.9890741088
134,0.71875,0.28125,0.6908212560386473,1.0,15.9276991389
