,latent_component_1,latent_component_2,latent_component_3,latent_component_4,latent_component_5,latent_component_6,latent_component_7,latent_component_8,latent_component_9,latent_component_10,latent_component_11,latent_component_12,latent_component_13,latent_component_14,latent_component_15,latent_component_16,lamellar_period,interaction_parameter
0,-0.6022973,0.4596999,-0.36695644,-1.1883953,0.39996004,0.45639747,0.74927896,0.44989088,0.9771024,1.1755269,-0.12654689,0.20268373,1.4660957,0.12036072,-0.2218556,0.59118813,15.7726639064,1.0
1,-0.5652718,0.596385,-0.48412332,0.6547673,-0.79781693,0.58824104,-1.1674696,-0.05334744,1.4933991,0.41676703,-0.21537316,0.5879474,1.302752,0.823385,-0.5352818,0.68152267,15.4848670985,1.0
2,-2.9656446,0.27428922,0.98718405,0.46977392,-1.3590738,0.54491085,-0.121594384,0.36047682,2.0535572,-0.12047134,-1.0796894,0.20500606,0.26419297,1.3284148,-0.42443815,-0.2673392,15.5679151246,1.0
3,-1.7754236,0.6067332,0.6952279,-0.7404525,-2.1826549,-0.18857343,-0.40081665,1.0108299,2.3972824,0.016904423,-1.7304287,0.33222872,0.3164775,0.63050073,-1.1448611,0.46846226,15.8045951126,1.0
4,-1.4956015,0.34465134,0.38363555,0.49622828,-0.97994447,-0.08050095,-0.16720496,1.652519,1.9167517,-0.117667675,-1.2961934,0.8383629,-0.18457739,0.14960967,-1.0021682,1.2473537,15.8862202218,1.0
5,4.768294,0.7162924,-2.1578562,-0.53194404,1.2986937,1.3725641,-0.44422084,1.2205282,-1.7243779,3.5941768,3.0082948,-0.28633,1.0163339,-1.332141,-2.3586078,2.680539,15.7608568613,1.0
6,1.4432633,1.5137855,-0.48728195,0.5073584,-0.5315596,1.164649,-0.34107423,0.41842765,0.77511793,1.1197193,1.6249886,-0.07866471,0.17344908,-0.30759344,-2.1479661,2.0577834,15.6508989673,1.0
7,-1.3037035,0.36275974,0.024346674,0.81521267,0.11420069,0.30596754,0.36779338,-0.9592824,1.2606827,0.2794955,-0.14077921,-0.7583717,-0.96878374,0.9621827,-0.686521,0.5577107,15.6387239808,1.0
8,0.83667386,0.17542593,-0.3766502,0.5179161,-0.08371983,0.32582703,-0.24839553,1.3159144,0.58715194,0.9663963,-0.10250312,0.4334407,-0.3850448,-0.4943086,-1.6469368,2.348534,15.8450253602,1.0
9,0.80035913,0.10178825,-0.6338038,0.5414092,0.13504572,-0.7333811,0.29578984,0.625236,0.4366058,0.5079027,0.05651019,1.0054547,0.38192052,0.30090186,-0.62343174,1.4370403,15.6753968741,1.0
10,-1.6963097,0.9462557,-0.38439617,-0.2056581,-0.93672866,0.48093295,0.95691293,-0.76565176,2.132495,-0.30267698,-1.6339382,0.14774732,-0.73291266,0.66358256,-0.088691674,0.30183923,15.6620523595,1.0
11,0.41556427,1.2357146,-0.68321437,-0.99128604,-0.8084938,1.3665576,0.1945416,0.21519269,1.2882652,1.1035857,0.24266993,-0.47210604,0.6804761,-0.6672136,-1.4727093,0.8025877,15.8110806061,1.0
12,-0.28228223,0.6624644,0.09442289,0.92758226,-0.79294866,-0.5895016,-0.2663379,-0.4042844,1.4079481,-0.36163068,0.335475,-0.23068362,-0.5192929,-0.32093683,-0.84822035,0.7945951,15.8413117949,1.0
