,0_fraction,1_fraction,blockiness,interaction_parameter,lamellar_period
0,0.3125,0.6875,0.4181818181818181,3.5,14.7265107173
1,0.375,0.625,0.6,3.5,14.7560962264
2,0.75,0.25,0.33333333333333337,3.5,15.5023995356
3,0.25,0.75,0.33333333333333337,3.5,14.944565635
4,0.21875,0.78125,0.08571428571428569,3.5,14.5867960517
5,0.5,0.5,0.125,3.5,14.6970798017
6,0.4375,0.5625,-0.015873015873015872,3.5,14.5825998264
7,0.21875,0.78125,0.26857142857142857,3.5,14.6085979242
8,0.5,0.5,0.0,3.5,14.6160374577
9,0.40625,0.59375,0.09311740890688258,3.5,14.5797268837
10,0.34375,0.65625,0.4458874458874459,3.5,14.5634603545
11,0.65625,0.34375,0.30735930735930733,3.5,15.0864447354
12,0.53125,0.46875,0.1215686274509804,3.5,14.9974621186
13,0.375,0.625,0.19999999999999998,3.5,14.6278275051
14,0.90625,0.09375,-0.10344827586206895,3.5,16.1714280223
15,0.75,0.25,0.33333333333333337,3.5,15.8545694379
16,0.5625,0.4375,-0.6507936507936508,3.5,14.8736103094
17,0.53125,0.46875,-0.6313725490196078,3.5,14.7434740709
18,0.5,0.5,-0.625,3.5,14.6936383698
19,0.59375,0.40625,-0.29554655870445357,3.5,14.9033454942
20,0.46875,0.53125,-0.6313725490196078,3.5,14.6015889394
21,0.5625,0.4375,-0.5238095238095238,3.5,14.7201462512
22,0.625,0.375,-0.33333333333333337,3.5,15.0494836259
23,0.5625,0.4375,-0.5238095238095238,3.5,14.6982879816
24,0.625,0.375,-0.33333333333333337,3.5,14.9837378467
25,0.5,0.5,-0.5,3.5,14.610303024
26,0.5,0.5,-0.5,3.5,14.7829626387
27,0.5,0.5,-0.625,3.5,14.8306519399
28,0.59375,0.40625,-0.5546558704453441,3.5,15.0371936722
29,0.53125,0.46875,-0.2549019607843137,3.5,14.7799702322
30,0.53125,0.46875,-0.6313725490196078,3.5,14.8037498701
31,0.5,0.5,-0.5,3.5,14.7146342144
32,0.375,0.625,-0.33333333333333337,3.5,14.5245135866
33,0.4375,0.5625,-0.6507936507936508,3.5,14.5745486091
34,0.375,0.625,-0.06666666666666674,3.5,14.5387240685
35,0.40625,0.59375,-0.4251012145748988,3.5,14.5386845536
36,0.375,0.625,-0.2,3.5,14.5968337643
37,0.375,0.625,-0.33333333333333337,3.5,14.5652074692
38,0.34375,0.65625,-0.10822510822510822,3.5,14.749028448
39,0.21875,0.78125,0.08571428571428569,3.5,14.8540925056
40,0.625,0.375,0.19999999999999996,3.5,15.2068149682
41,0.6875,0.3125,0.2727272727272727,3.5,15.7851789265
42,0.75,0.25,0.16666666666666663,3.5,15.8452844395
43,0.53125,0.46875,0.1215686274509804,3.5,14.778136614
44,0.65625,0.34375,-0.24675324675324684,3.5,15.0220293569
45,0.53125,0.46875,-0.12941176470588234,3.5,14.7748464339
46,0.625,0.375,-0.06666666666666665,3.5,15.086123651
47,0.53125,0.46875,0.1215686274509804,3.5,14.7847763802
48,0.5625,0.4375,-0.5238095238095238,3.5,14.8202813947
49,0.4375,0.5625,-0.39682539682539686,3.5,14.6336274957
50,0.40625,0.59375,-0.036437246963562736,3.5,14.5959357232
51,0.46875,0.53125,-0.38039215686274513,3.5,14.6858214369
52,0.375,0.625,-0.4666666666666667,3.5,14.5638436392
53,0.34375,0.65625,-0.3852813852813852,3.5,14.5220169183
54,0.4375,0.5625,-0.39682539682539686,3.5,14.6805187505
55,0.4375,0.5625,-0.39682539682539686,3.5,14.603062911
56,0.625,0.375,0.19999999999999996,3.5,14.8905114555
57,0.4375,0.5625,-0.015873015873015872,3.5,14.567123511
58,0.78125,0.21875,0.26857142857142857,3.5,15.4609811136
59,0.8125,0.1875,-0.02564102564102566,3.5,15.7139917917
60,0.46875,0.53125,0.2470588235294117,3.5,14.6866762083
61,0.5625,0.4375,0.365079365079365,3.5,15.0614910376
62,0.75,0.25,0.0,3.5,15.3907338742
63,0.5625,0.4375,-0.015873015873015844,3.5,15.9489785585
64,0.40625,0.59375,-0.29554655870445334,3.5,14.6280532095
65,0.34375,0.65625,-0.5238095238095238,3.5,14.5589310462
66,0.34375,0.65625,-0.3852813852813852,3.5,14.5915040513
67,0.34375,0.65625,-0.24675324675324672,3.5,14.5618518741
68,0.4375,0.5625,-0.5238095238095237,3.5,14.5403768359
69,0.375,0.625,-0.2,3.5,14.8047844999
70,0.40625,0.59375,-0.29554655870445334,3.5,14.5841757731
71,0.34375,0.65625,-0.5238095238095238,3.5,14.5609444995
72,0.4375,0.5625,-0.5238095238095237,3.5,14.5630605359
73,0.40625,0.59375,-0.554655870445344,3.5,14.5642138867
74,0.375,0.625,-0.4666666666666667,3.5,14.5575476207
75,0.375,0.625,-0.33333333333333337,3.5,14.5474355996
76,0.375,0.625,-0.4666666666666667,3.5,14.5397978975
77,0.5,0.5,-0.375,3.5,14.7349799452
78,0.25,0.75,-0.3333333333333333,3.5,14.6593156824
79,0.46875,0.53125,-0.7568627450980392,3.5,14.6387173515
80,0.5,0.5,0.0,3.5,14.7072004477
81,0.5,0.5,-0.375,3.5,14.8044543476
82,0.53125,0.46875,-0.0039215686274509665,3.5,14.7145603116
83,0.65625,0.34375,-0.24675324675324684,3.5,15.1610138925
84,0.59375,0.40625,-0.036437246963562764,3.5,14.9325122798
85,0.65625,0.34375,-0.24675324675324684,3.5,15.5413032329
86,0.46875,0.53125,-0.2549019607843138,3.5,14.5904139339
87,0.65625,0.34375,-0.24675324675324684,3.5,15.094494921
88,0.65625,0.34375,0.16883116883116892,3.5,15.6749693967
89,0.65625,0.34375,0.16883116883116892,3.5,17.0218740085
90,0.6875,0.3125,0.12727272727272734,3.5,15.5735854465
91,0.75,0.25,0.16666666666666663,3.5,15.316243031
92,0.84375,0.15625,0.051851851851851816,3.5,16.2170031068
93,0.9375,0.0625,-0.06666666666666665,3.5,16.0955807285
94,0.5625,0.4375,0.11111111111111116,3.5,15.0971760515
95,0.6875,0.3125,0.12727272727272734,3.5,15.0021833454
96,0.46875,0.53125,-0.0039215686274509665,3.5,15.0574785004
