,latent_component_1,latent_component_2,latent_component_3,latent_component_4,latent_component_5,latent_component_6,latent_component_7,latent_component_8,latent_component_9,latent_component_10,latent_component_11,latent_component_12,latent_component_13,latent_component_14,latent_component_15,latent_component_16,lamellar_period,interaction_parameter
0,-1.6380106,-0.21492335,-0.1508929,0.88025045,-0.960949,1.1143056,-1.3194169,0.5602056,0.03804452,1.7199284,0.06306343,-0.37970117,-0.65180975,0.7169726,-0.0930677,0.5940733,14.7265107173,3.5
1,-2.5629942,-0.5864015,0.13905382,0.3196742,-1.1160535,0.07591725,0.8469492,0.5476571,2.033228,-0.13100596,-2.0854135,0.5839469,1.1283616,0.84516174,-0.87718546,-0.93019986,14.7560962264,3.5
2,-1.0282518,1.9453124,-0.35098788,-1.389313,-1.0768104,-0.65409094,-0.023044625,-0.40133002,2.4462545,-0.7167908,-0.5811321,-0.2502016,0.78306633,-0.50899684,-0.766508,0.6349687,15.5023995356,3.5
3,-1.8250359,-0.90753394,0.1068583,0.2599429,-2.2351992,0.3846318,-0.02681108,-1.4599912,2.1347804,-0.109403424,-1.5920333,0.70885843,-1.0560819,0.9014781,-0.24297826,-0.72390854,14.944565635,3.5
4,-0.8596972,-0.38573813,-0.07401615,0.26041064,-1.8593736,-0.10654251,-0.24159256,-0.6075252,1.7825694,0.69012517,-1.2561258,0.42510417,0.13386211,1.3351954,-0.37935838,-0.5203255,14.5867960517,3.5
5,0.007943096,0.6151396,-0.85353637,-0.82087606,-0.51059365,1.375222,-0.35748073,0.5045369,1.681587,1.5934374,-0.84181607,0.68096536,0.3177552,-0.3866643,-2.7435699,1.3894151,14.6970798017,3.5
6,0.10343451,1.2373126,-1.5658501,-0.12681817,-0.13771373,1.1241921,-0.012052238,1.3302315,-0.5403998,1.7446302,0.3278057,0.7172813,1.0538169,0.066100895,-1.4593972,1.2902437,14.5825998264,3.5
7,-1.1005328,0.45479786,0.038159534,-0.3408031,-1.7862484,0.69923013,-0.6608225,0.9950875,2.1576223,1.4118738,-0.69285834,0.7730154,0.33784103,0.6618266,-1.0906138,-0.43073708,14.6085979242,3.5
8,0.5794381,2.2211637,-1.5644505,-0.09804036,0.7000336,1.1084621,-1.3818319,0.16991325,0.93516,2.8198001,0.1750071,0.713828,0.3542797,-0.9259242,-2.1607835,2.06979,14.6160374577,3.5
9,-0.6204734,-0.6181394,0.6365096,0.21650453,-0.6982715,0.086814344,-0.21644124,0.06274318,1.3733568,0.65465486,0.06553396,0.6653505,-0.07705571,0.13390842,-1.5223744,0.31291878,14.5797268837,3.5
10,-0.7967835,-0.14042409,0.20564353,-0.5552068,-1.8489101,0.72768694,0.359738,-0.5366693,2.169715,0.9903335,-1.0034457,0.24451225,-0.41731024,0.219651,-0.9650912,-0.9304337,14.5634603545,3.5
11,-2.0994723,0.2791243,0.1260859,-0.5629675,-0.9840661,0.05671615,0.8883933,-1.3496997,0.9231461,-1.0439906,-0.14405791,0.22854336,0.0073287343,0.034714688,0.4397986,1.0384761,15.0864447354,3.5
12,-0.7639721,0.5677907,-1.1747905,-0.5544945,-1.217065,-0.6584216,-0.94978285,-0.4554152,1.0626446,0.13991672,-1.0441943,0.5104115,0.17925768,-0.50920296,-1.169825,1.1326537,14.9974621186,3.5
13,1.2956227,1.5590193,-1.4938914,0.8510816,-0.6641055,0.66002595,-1.4139116,0.15459073,0.32652465,2.111443,0.691189,-0.2205243,0.08337185,0.27512658,-2.3769662,1.5222098,14.6278275051,3.5
14,-1.8480006,1.0686172,1.1160667,-0.21839392,-0.86362696,-1.8142498,1.2654879,-0.22564824,1.9508178,-1.2739418,-0.44073847,-0.14418666,-0.7328472,-0.38947582,-0.08246894,1.4916456,16.1714280223,3.5
15,-0.7304503,0.5360399,1.1115173,0.72430015,-0.49931693,-0.167983,1.0737042,0.31991398,1.8601032,-0.98991233,-0.1429243,-1.2290902,-0.96866316,0.5083912,0.51548547,1.7629575,15.8545694379,3.5
16,-1.0006926,0.586787,0.005561714,0.45389587,-0.84587014,0.58040386,-0.3494267,-1.1220106,0.61179906,0.70936036,-0.3063281,-0.55041397,0.44555533,-0.2513696,-1.3896344,1.0292995,14.8736103094,3.5
17,-1.07937,0.50051403,0.21853426,-0.32323897,-0.9810799,0.2237528,-0.0023740877,-0.24904029,0.7114012,0.7995418,-0.058002748,-0.09351218,0.57054555,0.0067214877,-0.78232765,0.64084035,14.7434740709,3.5
18,1.5662225,0.7895304,-1.2540121,0.30713406,-0.11083447,0.9456189,-0.019402187,1.0728434,0.34750712,1.8222225,0.6033326,-0.010429136,-0.40121156,-0.17937443,-2.2549987,1.5178578,14.6936383698,3.5
19,0.4840966,0.9422023,-0.5443908,-0.081209496,0.20546016,0.3734336,-0.3233592,0.32373187,1.3383012,1.1158316,0.44550326,-0.34522465,-0.6269376,0.041986067,-1.4646103,1.6392001,14.9033454942,3.5
20,0.23236531,0.8283633,-0.3841638,0.04406786,-0.7499215,1.0352825,-0.47165412,0.6430023,0.5651289,1.389857,0.60094637,-0.1679796,-0.26022246,-0.50202626,-1.359482,1.1037371,14.6015889394,3.5
21,0.17386211,0.40700123,0.08174608,-0.27797356,-0.51943475,-0.13036464,-0.32533163,1.3947183,0.7007683,0.6828648,0.887734,0.99332476,0.69156533,-0.78695107,-1.0769535,1.1748241,14.7201462512,3.5
22,-0.25470847,1.2818061,-0.4999836,0.7307428,-0.061540496,0.716624,0.27890804,0.5001121,1.4596593,0.63440275,-0.18406549,-0.26996905,-0.75114477,-0.3410233,-1.1460528,0.97264224,15.0494836259,3.5
23,2.3073184,0.9485739,-1.3042905,-0.66006345,0.033705782,0.4255748,-0.676646,1.0651459,0.024613636,2.1567369,1.3964413,0.71093386,0.7823598,-0.73054665,-1.9880505,2.4558778,14.6982879816,3.5
24,-0.767284,0.48252591,0.5223891,0.025716163,-1.009061,-0.76161677,-0.06081742,0.09734609,1.6213926,-0.26659158,-0.4251323,0.394096,-0.23235601,-0.050953202,-1.3303858,1.2873995,14.9837378467,3.5
25,1.127269,-0.52133155,-0.35720444,-0.57730794,-0.9706197,0.08165239,-0.9219989,0.10211475,0.6864203,1.2371215,0.43217558,0.6749327,0.29822543,-0.54675835,-0.9160136,1.3569134,14.610303024,3.5
26,-1.8950995,-0.3866492,0.25449106,-0.46254832,-0.79229075,0.5841061,0.4899107,-0.34390557,1.5589343,0.25297505,-1.5544972,-0.26153436,-0.0065410053,0.96571517,-0.037038047,0.32956654,14.7829626387,3.5
27,0.97420025,0.007475071,-0.071645975,0.08115723,-0.19227368,0.52107173,-0.22890845,0.40127864,-0.08491733,2.1164124,0.9061494,0.08316191,0.7531053,-0.437211,-1.5878048,1.1693494,14.8306519399,3.5
28,-0.2977349,0.53523207,-0.6528766,0.11211427,-0.1084758,-0.18952069,0.5834895,-0.7317234,0.69015884,0.07509142,0.067666516,-0.23518117,0.23822471,-0.027435921,-0.20220488,0.533283,15.0371936722,3.5
29,-0.20779745,0.65207887,-0.3330673,0.029005766,0.39085886,-0.46354145,-0.5364319,0.4643204,0.43162036,0.81681657,0.6466211,0.13045998,0.98299545,-0.32264927,-0.29192743,0.7528593,14.7799702322,3.5
30,-1.2885765,-0.0878401,0.4138975,0.04287092,-0.61552453,0.42151427,-0.13409191,0.058144003,1.2735021,0.41299036,-0.9026659,0.40745157,0.8896515,0.0807236,-0.1828684,0.48380604,14.8037498701,3.5
31,-0.4717023,0.61920154,-0.15278207,0.25436905,-0.6709273,-0.06397711,0.074990645,0.46765524,0.30556357,0.95589674,0.30247837,-0.35964036,0.5339302,-0.29515284,-0.7092787,0.41849148,14.7146342144,3.5
32,-0.5299595,0.31935826,-0.092385426,0.5578765,-0.7990258,1.2556981,-1.7536443,0.17008409,1.4106984,1.4450648,-0.19741793,0.5296914,0.5512375,-0.07677485,-1.4882092,1.0198654,14.5245135866,3.5
33,0.5118067,0.6538481,-0.49046022,-0.23636538,-1.3098686,1.0584288,-0.030545315,0.87453157,0.53339654,1.4546767,0.42564866,0.50881094,0.12130811,-0.22109002,-1.9571671,1.3201196,14.5745486091,3.5
34,0.8710902,-0.4734447,-0.62956554,-0.38601112,-0.8789644,0.96506494,0.6578327,-0.2456675,-0.07721811,2.1919775,0.26958597,0.041347243,0.5248077,-0.08658917,-1.3317577,0.20032325,14.5387240685,3.5
35,1.5766401,0.14543056,-1.1934696,0.30709362,0.13492166,1.9696319,-1.0388191,-0.13452241,0.42008832,2.8210697,0.5864439,0.5281159,-0.017645987,-0.5149291,-2.3374624,1.647792,14.5386845536,3.5
36,-0.15249576,0.7814027,-1.491167,-0.59330297,-0.3045871,0.77407104,0.08604623,0.55682325,0.50810564,1.3707697,-0.43523428,0.5529708,0.94431263,0.7634261,-1.1828362,0.8566441,14.5968337643,3.5
37,-2.0330296,0.043362394,0.02268741,0.9035156,-0.5645927,0.32395282,-0.9767211,-0.4235119,1.7087355,0.97797185,-1.0695759,0.59361255,0.39477906,0.51310015,-1.0117637,0.6895331,14.5652074692,3.5
38,-0.6767551,0.35497516,-0.1710186,-0.57248354,-1.1579583,0.33780247,-0.10304347,1.3547074,1.5447026,-0.0014164973,-0.3621496,0.5843404,1.1347455,0.5836372,-1.4257916,-0.14403924,14.749028448,3.5
39,-1.9187262,-0.72978157,0.4545478,0.02967115,-1.34722,1.587893,-0.74222493,0.89988303,1.6717681,1.2204047,-1.2371874,0.33201542,0.18874708,1.3722517,0.0042659054,-0.24150947,14.8540925056,3.5
40,0.16183175,-0.021620398,1.2218225,0.22256972,-0.6367058,-0.33326185,1.0434843,-0.71258646,1.5495236,-0.10063712,0.50132525,-0.14601213,0.23579396,0.37679785,-0.5459332,1.273229,15.2068149682,3.5
41,-1.1238519,-0.39836147,1.9109792,-0.22081599,-1.2684793,-1.0742785,0.060821485,-0.12793618,3.5370326,-1.1008164,-1.6105672,-0.0018042222,-0.8077854,0.38704875,0.5266079,0.7567699,15.7851789265,3.5
42,-3.0863402,0.8101735,0.57100844,0.8164534,-0.1411119,-0.44135788,1.142182,-0.4186921,2.3200219,-0.19470192,-2.265628,0.21314906,-0.18396445,0.22670983,0.20917815,1.0830144,15.8452844395,3.5
43,1.2463137,-0.30376044,-0.81326187,-0.3009272,-0.75650495,0.16775945,0.29847616,0.5506789,0.52546316,1.3436766,-0.5233419,0.73755443,0.51822805,-0.8629139,-2.253403,0.9174478,14.778136614,3.5
44,-0.6059235,-0.0018440031,0.6565581,-0.25787058,-0.9460124,0.62447,0.2711457,-0.5334071,1.2078981,-0.056595948,-0.20123358,-0.16060744,-0.54310834,-0.97043157,-0.7315593,1.0474942,15.0220293569,3.5
45,0.44094732,0.08716103,0.3783636,0.10944233,-1.0589451,0.61258924,0.0644438,1.473374,0.5734931,0.73884493,0.7970061,1.1189004,0.15915503,-0.09126508,-1.3547748,2.1806707,14.7748464339,3.5
46,-1.5868438,0.08553613,0.28304443,0.18631522,-0.46526212,0.16506307,-0.46554497,-0.45340702,1.4278759,0.6269172,-0.86099565,-0.8656383,-0.30843118,-0.24434012,-0.27149785,0.42698914,15.086123651,3.5
47,-0.9405827,0.9610389,-0.1508879,-0.61719984,-1.3690886,0.59966016,-1.0914774,0.20049357,1.0360855,0.7251882,-0.06427593,0.7392063,1.9462143,-1.1274673,-0.9822094,0.29000816,14.7847763802,3.5
48,-0.83464277,0.04666927,0.097186685,0.7194318,-0.0062110173,0.21060301,-0.52821386,-0.47173724,1.2224759,0.23312616,-0.6618337,-0.10281369,0.43145463,-0.14856909,-0.18522798,0.82276386,14.8202813947,3.5
49,0.3145345,1.4127574,-1.5025911,-0.07461622,-0.8834764,0.78031695,-0.6097242,-0.3750569,0.8441464,1.4141839,-0.007861981,-0.038057495,-0.21350501,0.20630309,-1.5890898,1.2693553,14.6336274957,3.5
50,-0.052371617,0.8693837,-0.32531306,-0.016911102,-1.3985429,0.13537517,-0.49368796,0.13626382,-0.14394146,0.69724673,1.4801749,-0.52574444,1.5898488,0.21466058,-0.77274364,0.16425158,14.5959357232,3.5
51,2.8858345,1.3370373,-2.1822538,0.95336837,0.9196688,1.7994298,-1.055383,0.67308164,-0.83090943,3.0325422,2.0849867,0.29890588,0.109043814,-1.0558786,-2.4663832,2.4286747,14.6858214369,3.5
52,-0.88141084,-0.07215583,-0.15523577,0.6126588,-0.6562215,0.2837812,-0.60040843,-0.62372047,1.3788352,0.65455663,-0.57420176,0.14932555,0.33209705,0.5118631,-0.9026384,0.20150858,14.5638436392,3.5
53,-0.58615535,0.42386422,-0.67320865,0.2980263,-0.1586547,0.45983756,-0.8441738,0.3843616,1.0844632,1.3699155,-0.13516055,-0.042844724,0.38700533,0.5222941,-1.1107304,0.14056805,14.5220169183,3.5
54,1.5456208,0.95500153,-1.489869,0.017133689,-0.5034311,1.9032023,-0.4160113,1.4247267,0.36591342,2.5837014,-0.08947559,-0.16470484,-0.29388493,-0.6696862,-2.0060768,1.3679714,14.6805187505,3.5
55,1.0917606,-0.40256023,-0.4352921,-0.22366296,-0.43334585,0.52576554,-1.1373742,0.29334754,1.2569671,1.3110703,0.35135478,0.7089734,-0.08082599,-0.34837332,-1.106921,1.0134717,14.603062911,3.5
56,1.1373632,0.2540609,-0.53878266,-0.5423517,-0.4087489,0.045620356,0.40432644,-0.27726844,1.0084752,1.3719194,-0.15983829,1.5278479,0.6287046,-0.89469784,-2.0406756,1.962662,14.8905114555,3.5
57,0.24184199,-0.28098392,-1.820155,-0.55000246,-0.7081928,0.59007895,0.118454665,0.54919434,0.13669646,1.1249208,-1.2724775,0.27905938,1.0725371,0.17397779,-0.86299205,0.6855144,14.567123511,3.5
58,0.19450782,0.20226908,0.054829817,0.1486448,-0.37496793,-1.0964789,0.5482853,0.08314841,1.2542622,-0.90961707,-0.49377614,-0.22186297,-0.12588422,-0.37603384,-0.13123167,1.762948,15.4609811136,3.5
59,-1.8674005,-0.3340861,1.7417018,-0.7249353,-1.1147025,-1.2855309,0.9924361,-0.022773866,1.614045,-1.3569598,-0.3131034,0.06457143,-0.29051682,-0.34697196,0.24737002,1.0933841,15.7139917917,3.5
