,latent_component_1,latent_component_2,latent_component_3,latent_component_4,latent_component_5,latent_component_6,latent_component_7,latent_component_8,latent_component_9,latent_component_10,latent_component_11,latent_component_12,latent_component_13,latent_component_14,latent_component_15,latent_component_16,lamellar_period,interaction_parameter
0,-0.46143278,-0.36971682,0.89107865,0.13801533,-0.9113098,-1.1809752,0.8048932,0.7649831,1.8852632,-0.6255081,-0.8435533,1.4695152,-0.0695428,-0.29126978,-0.6700133,1.531501,16.0363622556,1.0739430074
1,0.650813,0.6195987,0.21284649,0.35847008,-0.049974006,-0.65738386,-0.053158615,0.98595923,1.0214696,1.1253611,0.078632355,0.5024098,-0.32097188,-0.9706334,-1.4797041,2.177754,15.9598354055,2.05010348826
2,-1.4163111,1.0054604,0.37539902,0.25350025,-0.5441302,-0.6038604,1.4638066,0.7820545,2.0170476,-1.3010097,-1.5311677,-0.01181918,-0.6680538,-0.12645613,-0.153336,1.6204731,16.062957635,2.83639556884
3,-1.7360928,0.2880527,1.2115061,-0.24877408,-0.5376679,-0.89389753,1.1892855,-0.24041219,2.7007031,-0.7507565,-1.3722016,0.6367899,-0.73363775,-0.41201723,-0.614578,1.434207,15.9733700495,2.77873958429
4,-1.1159174,0.31136644,0.92358947,-0.5520814,-1.1940771,-0.71945477,-0.18852372,0.08703447,1.9268728,-0.9411053,-1.055575,0.24371845,0.27498952,-0.995191,-0.48494923,1.5033019,16.0919731948,1.3187154109
5,-1.3027285,1.2153796,1.0549709,0.3742194,-1.2160901,-0.5232069,0.56650126,-1.1932424,1.1119692,-0.51236814,0.23315698,-0.10347482,-0.9924211,-0.7555693,-0.57835317,2.2801569,15.7748995183,2.71554246223
6,-2.0620754,-0.24658927,1.7954959,-1.3964162,-1.6154257,-1.1928599,1.4365299,-0.7688243,2.576338,-1.3679104,-1.3550963,0.12953086,-1.2779073,0.19551358,-0.4760634,1.3970526,16.2990444812,0.749019430291
7,-1.429789,0.562116,0.15183446,0.1868804,0.37660447,-0.66034985,0.74741566,-0.3018625,1.4388186,-0.17790015,-0.81557995,0.3099195,0.013970105,-0.029817788,0.015173313,1.0946462,16.2387361085,0.507858757569
8,-2.3806171,0.6792619,-0.2649392,-0.45562246,-1.4424373,0.17602162,0.025904905,0.38337559,1.2549511,0.018173408,-1.093973,-0.14199238,1.0639904,1.2624544,-0.23522425,-0.17465705,15.576696799,1.0226819274
9,1.5134839,0.27859774,-0.5788253,0.8856129,0.1430061,0.7587993,-1.280028,0.08313631,-1.0363457,2.655589,1.6502624,-0.008442403,1.3346556,-1.3363076,-1.8488973,1.8039553,15.4595016053,1.91290056036
